ACTOR NAME,SOCRADAR RANK,ALIASES,SECTORS,TARGET COUNTRIES,TOTAL IOCS
DragonOK,6,Bronze Overbrook|Shallow Taurus|DragonOK|Moafee,Manufacturing|Other|Public Administration|Electrical&Electronical Manufacturing|National Security&International Affairs,Tibet|Russia|“countries with national interests in the South China Sea”|Japan|Cambodia|USA|Hong Kong|Taiwan|Philippines|United States,320
xHunt,186,Cobalt Katana|Hive0081 (IBM)|HunterSerpens|Hunter Serpens|CobaltKatana|SectorD01 (NHSC)|SectorD01|Hive0081|xHunt|xHunt campaign (Palo Alto),,Kuwait,30
Smishing Triad,245,,,,0
EXOTIC LILY,263,DEV-0413,,,30
Operation Silent Skimmer,271,OperationSilentSkimmer|Operation Silent Skimmer,,USA|Asia Pacific,0
Cyber Army of Russia Reborn,73,,,,0
HenBox,338,,Civic&Social Organizations,Uighurs,950
Storm-1167,632,DEV-1167,,,0
UNC1878,679,,,,0
SCATTERED SPIDER,96,,,,192
APT 29,131,Grey-Cloud|APT 28|Grizzly Steppe|ITG11|Sednit|Dark Halo|ATK 5|Fighting Ursa|Cozy Bear|TG-4127|CloudLook|UNC3524|Iron Ritual|SilverFish|BlueBravo|Cloaked Ursa|NobleBaron|SIG40|APT 29|Midnight Blizzard|Solar Phoenix|SolarStorm|ITG05|UNC2452|TEMP.Monkeys|TA422|Blue Athena|ATK 7|T-APT-12|Nobelium|Swallowtail|Cranefly|The Dukes|Fancy Bear|Iron Twilight|Group 74|BlueDelta|Tsar Team|Group 100|UAC-0028|Forest Blizzard|Sofacy|Blue Dev 5|TAG-0700|FROZENLAKE|Iron Hemlock|Strontium|StellarParticle|Yttrium|Minidionis|Pawn Storm|Snakemackerel,Air Transportation|Construction|Public Administration|Educational Services|Space & Defense|Energy & Utilities |Automotive|Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Mining|Telecommunications|Transportation&Warehousing|Other|Finance|HealthCare & Social Assistance,China|Kazakhstan|Russia|Mongolia|Montenegro|Lithuania|Mexico|Malaysia|Sweden|Germany|Cyprus|Hungary|Slovenia|Belgium|Turkey|France|Armenia|Romania|Switzerland|Israel|Uzbekistan|Tajikistan|Jordan|Australia|Ireland|Kyrgyzstan|Chile|New Zealand|Saudi Arabia|Poland|Latvia|Brazil|Denmark|Uganda|Belarus|UAE|Bulgaria|APEC and OSCE|Iran|Czech|Croatia|NATO|Pakistan|UK|Netherlands|South Africa|Portugal|India|Italy|South Korea|Ukraine|Azerbaijan|Japan|Iraq|Thailand|Chechnya|Norway|Afghanistan|USA|Slovakia|Georgia|Singapore|Lebanon|Canada|Luxembourg|Spain,6628
GOLD SOUTHFIELD,356,,,,5
Sands Casino,682,,,,0
Volatile Cedar,620,Dancing Salome|Volatile Cedar|DeftTorero,Educational Services|Public Administration,UAE|Russia|Israel|Jordan|Egypt|Lebanon|USA|Palestinian Authority|UK|Saudi Arabia|Canada,223
MoustachedBouncer,207,MoustachedBouncer,Public Administration|National Security&International Affairs,Europe|Belarus|Eastern Europe|Northeast Africa|South Asia,43
Water Orthrus,236,,,,0
APT9,742,NIGHTSHADEPANDA|NIGHTSHADEPANDA|Group27|RedPegasus|RedPegasus|Group27,Construction|Space & Defense|Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|HealthCare & Social Assistance,United States,0
GOLD SYMPHONY,295,,,,0
TA530,696,TA530,Manufacturing|Construction|Educational Services|Energy & Utilities |Automotive|Chemical&Pharmaceutical Manufacturing|Telecommunications|Transportation&Warehousing|Retail|Agriculture&Forestry|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,USA|Australia|UK,12
DUNGEON SPIDER,140,,,,0
Operation PseudoManuscrypt,505,Operation PseudoManuscrypt|OperationPseudoManuscrypt,Energy & Utilities |Construction|Manufacturing|Other|Public Administration|National Security&International Affairs,Worldwide,0
Flash Kitten,254,,,,0
Whitefly,527,Bronze Walker|Whitefly|TEMP.Mimic|Mofang|Superman|SectorM04|ATK 83,Energy & Utilities |HealthCare & Social Assistance|Public Administration|Telecommunications|National Security&International Affairs|Automotive,USA|Germany|Myanmar|Singapore|India|Canada|South Korea,0
GOLD GARDEN,292,,,,0
TA406,176,,Public Administration|Publishing Services,China|Russia|Japan|North America|United Kingdom|Germany|South Africa|India|South Korea|France,0
Foxy Panda,611,,,,0
GOLD WINTER,204,,,,147
Sandman APT,369,,Public Administration|Telecommunications,Yemen|South Sudan|Turkey|France|Sri Lanka|Oman|Saudi Arabia|Middle East|Iran|Pakistan|Kuwait|India|United Arab Emirates|Sudan|Iraq|Libya|Afghanistan|Egypt|Southeast Asian,0
Operation Shadow Force,314,,,,0
Opal Sleet,100,OSMIUM|Konni|Vedalia|OSMIUM|Konni|Vedalia,,,66
FIN1,653,,,,0
Carmine Tsunami,68,DEV-0196|QuaDream,,,0
Scattered Canary,483,,,,0
HummingBad,273,,,,15
TraderTraitor,112,JadeSleet|UNC4899|JadeSleet|UNC4899,,,0
Cotton Sandstorm,225,HolySouls|Emennet Pasargad|Holy Souls|EmennetPasargad|NEPTUNIUM|MARNANBRIDGE,Energy & Utilities |Finance|Public Administration|Electrical&Electronical Manufacturing|Telecommunications|Civic&Social Organizations,Europe|Middle East|Israel|United States,0
Tomiris,277,Tomiris,Public Administration,Commonwealth of Independent States (CIS),762
Water Labbu,447,,,,0
Operation Shady RAT,344,Operation Shady RAT|OperationShadyRAT,Energy & Utilities |Other|Public Administration|Telecommunications,Switzerland|Japan|Indonesia|USA|Vietnam|Germany|Hong Kong|Taiwan|Singapore|UK|India|Canada|South Korea|Denmark,0
SOLAR SPIDER,556,,,,23
GOLD NORTHFIELD,452,,,,0
Returned Libra,171,8220MiningGroup|8220 Mining Group,,,7
DarkHydrus,114,ATK 77|LazyMeerkat|Obscure Serpens|DarkHydrus,Educational Services|Public Administration,Middle East|Iran,4
PROMETHIUM,94,Promethium|APT-C-41|StrongPity,,Senegal|Germany|Morocco|Belgium|Turkey|France|Tunisia|Vietnam|Poland|Colombia|South Africa|Netherlands|India|Italy|Algeria|Iraq|Egypt|USA|Cote d'Ivoire|Canada|Syria,2799
Overthinker1877,692,,,,0
Operation RusticWeb,443,Operation RusticWeb|OperationRusticWeb,Public Administration|National Security&International Affairs,India,0
BOSON SPIDER,511,,,,0
MUMMY SPIDER,159,GOLDCRESTWOOD|GOLD CRESTWOOD|TA542,,,2088
APT-C-27,287,GoldMouse|Golden RAT|ATK80|APT-C-27|GoldenRAT,,,0
Red Nue,504,LuoYu,,,13
PINCHY SPIDER,108,Gold Garden|Pinchy Spider|Gold Southfield,,Worldwide,0
Operation ShadowHammer,378,,,,0
HookAds,412,,,,0
Poisonous Panda,687,,,,0
UAC-0184,353,,,,4
Hacking Team,731,,,,81
FIN13,741,Elephant Beetle|FIN13|TG2003|ElephantBeetle,,Mexico|Latin America,0
UAC-0099,313,,,,0
Operation Dragon Castling,491,Operation Dragon Castling|OperationDragonCastling,,Philippines|Hong Kong|Taiwan,0
Starry Addax,428,,,,12
SALTY SPIDER,423,,,,0
Iron Group,136,IronCyberGroup|Iron Cyber Group,,,0
GCMAN,315,GCMAN,Finance,Russia,1389
WIRTE Group,389,WIRTEGroup|WhiteDev21|WIRTE Group|White Dev 21,Public Administration|National Security&International Affairs,Middle East,0
UNC2630,81,,,,0
Red October,267,theRocra,Other|Public Administration,India|Afghanistan|Armenia|Belgium|Ukraine|United States|Vietnam|Azerbaijan|Greece|Turkmenistan|Kazakhstan|Belarus|Italy,142
APT28,49,Grey-Cloud|BlueAthena|Grizzly Steppe|Sednit|GrizzlySteppe|Fighting Ursa|FANCYBEAR|G0007|APT28|TG-4127|IronTwilight|SIG40|ATK5|TsarTeam|PawnStorm|FancyBear|Group74|SNAKEMACKEREL|ITG05|APT-C-20|IRONTWILIGHT|TA422|Blue Athena|T-APT-12|Swallowtail|IRON TWILIGHT|ThreatGroup-4127|Threat Group-4127|Fancy Bear|BlueDelta|Group 74|FANCY BEAR|Tsar Team|ForestBlizzard|UAC-0028|Forest Blizzard|Sofacy|FightingUrsa|TAG-0700|FROZENLAKE|Strontium|Pawn Storm|Snakemackerel|STRONTIUM,Air Transportation|Manufacturing|Construction|Public Administration|Educational Services|Space & Defense|Energy & Utilities |Automotive|Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Mining|Telecommunications|Transportation&Warehousing|Electrical&Electronical Manufacturing|Other|Finance|Professional&Technical Services|HealthCare & Social Assistance,"China|Kazakhstan|Mongolia|Montenegro|Mexico|Lithuania|United Kingdom|Malaysia|Sweden|Germany|Iran, Islamic Republic of|Hungary|Cyprus|Belgium|Turkey|France|Armenia|Switzerland|Romania|Israel|World Anti-Doping Agency|Tajikistan|Jordan|Uzbekistan|Australia|Turkmenistan|Kyrgyzstan|International Association of Athletics Federations|Chile|Saudi Arabia|Poland|Latvia|Brazil|Uganda|United States|Belarus|UAE|Bulgaria|Moldova, Republic of|Iran|APEC and OSCE|Central African Republic|Croatia|NATO|European Commission|Pakistan|South Africa|Netherlands|UK|India|OSCE|Greece|Ukraine|South Korea|Italy|Austria|Azerbaijan|United Arab Emirates|Russian Federation|Japan|Iraq|Thailand|Norway|Afghanistan|USA|Slovakia|Georgia|Korea, Republic of|Canada|Asia Pacific Economic Cooperation|Luxembourg|Spain",1449
CLOCKWORK SPIDER,169,,,,83
Chimera,502,Chimera,Electrical&Electronical Manufacturing|Air Transportation,different geographical areas|Taiwan|Netherlands,104
Daixin Team,407,,,,0
Nitro,128,Covert Grove|Nitro,Chemical&Pharmaceutical Manufacturing|Electrical&Electronical Manufacturing|Automotive,China|Russia|Argentina|Sweden|Germany|Taiwan|France|Finland|Czech|Hong Kong|UK|Netherlands|India|South Korea|Japan|Bangladesh|Norway|USA|Singapore|Canada,1611
Caliente Bandits,360,TA2721,,,0
APT 31,24,Zirconium|Red Keres|APT 31|RedBravo|Judgment Panda|TA412|Bronze Vinewood|Violet Typhoon,,Belarus|Russia|Finland|Mongolia|Norway|USA|UK|Canada|France,0
Kasablanka,251,,,,0
Deadeye Jackal,10,SEA|SyrianElectronicArmy|SyrianElectronicArmy|SEA,,,0
COBALT JUNO,258,APT-C-38 (QiAnXin)|TG-2884(SCWXCTU)|APT-C-38(QiAnXin)|SABER LION|TG-2884 (SCWX CTU)|SABERLION,,,0
WOLF SPIDER,661,FIN4|Wolf Spider,Finance|HealthCare & Social Assistance|Chemical&Pharmaceutical Manufacturing,,0
Velvet Tempest,138,DEV-0504,,,0
Soft Cell,399,,,,295
UNC5291,672,,,,0
TA413,458,White Dev 9|TA413|WhiteDev9,,Tibet|China|Russian Federation|Europe|Nepal|India|Italy|Philippines,287
InvisiMole,663,InvisiMole|UAC-0035,Public Administration|National Security&International Affairs,Russia|Ukraine|Eastern Europe,559
Molerats,560,Extreme Jackal|TAG-CT5|ATK 89|TA402|Gaza Cybergang|Molerats|Gaza Hackers Team|Aluminum Saratoga,Public Administration|Space & Defense|Energy & Utilities |National Security&International Affairs|Mining|Telecommunications|Electrical&Electronical Manufacturing|Finance,China|Russia|the BBC and the Office of the Quartet Representative|Yemen|Germany|Morocco|Macedonia|Slovenia|Turkey|Israel|Jordan|Oman|Chile|New Zealand|Somalia|Saudi Arabia|Latvia|Denmark|UAE|Palestine|Iran|Kuwait|UK|India|South Korea|Algeria|Iraq|Qatar|Libya|Afghanistan|Egypt|USA|Serbia|Lebanon|Canada|Syria,1440
TA499,16,Lexus|Vovan,,,0
UAC-0006,544,,,,0
GOLD GALLEON,293,,,,0
Chamelgang,57,ChamelGang,Energy & Utilities |Public Administration|Air Transportation,Russia|Russian Federation|US|Japan|Nepal|Lithuania|Afghanistan|USA|Vietnam|Taiwan|India|Turkey|United States,20
TA444,595,,,,0
RUBYCARP,392,,,,17
DarkCasino,419,DarkCasino|Water Hydra,Finance,Switzerland|Ireland|Canada|France|Cyprus|Singapore|Poland|Philippines|Malta|Armenia|Spain,17
LockBit Gang,91,LockBit Gang|Bitwise Spider,Energy & Utilities |Transportation&Warehousing|Finance|HealthCare & Social Assistance|Air Transportation|National Security&International Affairs,Worlwide,0
Operation Manul,343,Operation Manul|OperationManul,,Europe,0
NewsPenguin,400,,,,0
UNC5325,358,,,,0
RASPITE,524,Flash Kitten|Raspite|Leafminer,Energy & Utilities |Transportation&Warehousing|Finance|Public Administration,Israel|USA|Kuwait|Lebanon|Europe and East Asia,0
White Bear,166,SkipperTurla|Skipper Turla,Other|Public Administration,Uzbekistan|South Korea|United Kingdom|United States,0
RomCom,53,Storm-0978|Storm-0978,,"Thailand|Indonesia|Japan|Ukraine|Brunei Darussalam|Germany|Korea, Democratic People's Republic of|Belgium",836
Dizzy Panda,707,LadyBoyle,,,0
Mogilevich,558,,,,0
TetrisPhantom,625,,,,0
LUNAR SPIDER,309,GOLDSWATHMORE|GOLD SWATHMORE,,,2213
TA505,395,Spandex Tempest|TEMP.Warlock|Graceful Spider|ATK 103|SectorJ04|Gold Tahoe|Chimborazo|Hive0065|TA505|Gold Evergreen,Retail|Finance|Educational Services|HealthCare & Social Assistance,Worldwide,4747
UltraRank,333,UltraRank,,,0
Caracal Kitten,185,APT-Q-58,,,0
Antlion,381,Antlion,Manufacturing|Finance,Taiwan,0
ViceLeaker,613,,,,0
Gibberish Panda,684,,,,0
Storm-1295,377,DEV-1295,,,0
Domestic Kitten,724,BouncingGolf|DomesticKitten|Domestic Kitten|APT-C-50|Bouncing Golf,,Uzbekistan|Iran|Iraq|Afghanistan|USA|Pakistan|UK|Turkey,85
Lazarus Group,101,UNC2970|UNC4899|TraderTraitor|Appleworm|Labyrinth Chollima|Gods Apostles|Diamond Sleet|ITG03|Zinc|UNC4736|APT-C-26|Gods Disciples|SectorA01|NewRomanic Cyber Army Team|Guardians of Peace|Hidden Cobra|ATK 3|DEV-0139|Group 77|UNC4034|Hastati Group|Jade Sleet|Lazarus Group|UNC577|Whois Hacking Team|TA404,Energy & Utilities |Finance|HealthCare & Social Assistance|Public Administration|Electrical&Electronical Manufacturing|Space & Defense|National Security&International Affairs,China|Russia|Worldwide (WannaCry)|Guatemala|Mexico|Germany|Taiwan|Belgium|Philippines|France|Israel|Australia|Chile|Vietnam|Poland|Brazil|Hong Kong|South Africa|Netherlands|UK|India|South Korea|Japan|Ecuador|Thailand|Bangladesh|USA|Canada,12620
COBALT DICKENS,210,Yellow Nabu|TA4900|Mabna Institute|Cobalt Dickens|Silent Librarian|TA407,Educational Services,Switzerland|China|Israel|Japan|Australia|USA|Hong Kong|UK|Canada|Turkey,0
[Unnamed groups: North Korea],200,[Unnamed groups: North Korea]|[Unnamedgroups:NorthKorea],,USA|France,0
Test Panda,475,,,,2
CHRYSENE,120,Magic Hound|Mint Sandstorm|Parastoo|Crambus|OilRig|TA453|Chrysene|EUROPIUM|Ajax Security Team|ITG13|TEMP.Beanie|Timberworm|Rocket Kitten|Cobalt Illusion|APT 35|Helix Kitten|IRN2|TunnelVision|Evasive Serpens|Ballistic Bobcat|Group 26|DEV-0861|TG-2889|APT 34|Twisted Kitten|Yellow Maero|Flying Kitten|TA452|ATK 40|Tarh Andishan|CharmingCypress|Cobalt Gypsy|Cutting Kitten|Hazel Sandstorm|Educated Manticore|Yellow Garuda|Charming Kitten|Phosphorus|Group 83|NewsBeef|Scarred Manticore|Cobalt Mirage|Newscaster|UNC788,Air Transportation|Manufacturing|Construction|Public Administration|Educational Services|Space & Defense|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Mining|Telecommunications|Transportation&Warehousing|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,China|Bahrain|Kazakhstan|Russia|Yemen|Mexico|Germany|Morocco|Belgium|Turkey|France|Romania|Israel|Jordan|Oman|Saudi Arabia|Brazil|UAE|Iran|Albania|Pakistan|Kuwait|Netherlands|UK|India|South Korea|Ukraine|Venezuela|Azerbaijan|Algeria|Japan|Iraq|Qatar|Gaza|Afghanistan|Egypt|USA|Lebanon|Mauritius|Canada|Syria|Spain,6334
Snake Wine,453,Snake Wine,Educational Services|Other|Public Administration,Japan,0
Leviathan,357,Mudcarp|ISLANDDREAMS|APT 40|ATK 29|TEMP.Jumper|Gingham Typhoon|Kryptonite Panda|Red Ladon|TA423|TEMP.Periscope|ITG09|Leviathan|Bronze Mohawk|Gadolinium,Manufacturing|Transportation&Warehousing|Public Administration|National Security&International Affairs,Switzerland|Cambodia|Thailand|Norway|Indonesia|Laos|Malaysia|USA|Vietnam|Germany|Hong Kong|Myanmar|New Zealand|UK|Saudi Arabia|Belgium|Philippines|Asia Pacific Economic Cooperation (APEC),2781
BackdoorDiplomacy,240,,,,128
APT-Q-12,694,,,,0
Gangnam Industrial Style,221,GangnamIndustrialStyle|Gangnam Industrial Style,Manufacturing,China|Japan|Ecuador|Thailand|Indonesia|Germany|UK|South Korea|Turkey,0
Operation WizardOpium,312,Operation WizardOpium,,South Korea,0
GOLD EVERGREEN,626,,,,0
Operation Black Atlas,600,Operation Black Atlas|OperationBlackAtlas,Manufacturing|Retail|Finance|HealthCare & Social Assistance,Australia|Chile|USA|Germany|Taiwan|UK|India,0
Axiom,33,Bronze Olive|APT 22|Axiom|Wicked Spider|Group 72|Bronze Export|Winnti Group|Wicked Panda,Air Transportation|Manufacturing|Public Administration|Educational Services|Space & Defense|Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Telecommunications|Electrical&Electronical Manufacturing|Other|Finance|HealthCare & Social Assistance,Belarus|Russia|China|Philippines|Japan|Thailand|elsewhere|Indonesia|USA|Sweden|Germany|Vietnam|Taiwan|Peru|India|South Korea|Turkey|Brazil,7043
Operation Jacana,442,OperationJacana|Operation Jacana,,Guyana,0
BladeHawk,494,,Public Administration,Kurdistan,0
Operation Bandidos,533,OperationBandidos|Operation Bandidos,,Venezuela,0
WeRedEvils,586,,,,0
MuddyWater,31,T-APT-14|TEMP.Zagros|MuddyWater|Mercury|ITG17|Yellow Nix|Static Kitten|TA450|Mango Sandstorm|ATK 51|Seedworm|Boggy Serpens|Cobalt Ulster,Public Administration|Educational Services|Energy & Utilities |National Security&International Affairs|Mining|Telecommunications|Transportation&Warehousing|Agriculture&Forestry|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance|Arts & Entertainment,Bahrain|Russia|Turkey|Armenia|Israel|Tajikistan|Jordan|Mali|Oman|Tunisia|Saudi Arabia|Belarus|UAE|Iran|Tanzania|Laos|Pakistan|Kuwait|Netherlands|India|Ukraine|Austria|Azerbaijan|Sudan|Iraq|Qatar|Thailand|Afghanistan|Egypt|USA|Georgia|Lebanon,7687
UTA0218,175,,,,39
Gray Sandstorm,570,DEV-0343,,,0
Radio Panda,645,ShroudedCrossbow|ShroudedCrossbow,,,0
SVCMONDR,373,APT 16|SVCMONDR,Finance|Public Administration|Electrical&Electronical Manufacturing,Thailand|Japan|Taiwan,2
TA402,604,,,,0
MAGNETIC SPIDER,496,,,,0
VENOM SPIDER,336,Venom Spider|Golden Chickens,Retail|Finance|Chemical&Pharmaceutical Manufacturing,USA,0
Pearl Sleet,350,DEV-0215|LAWRENCIUM,,,0
Pirate Panda,13,Pirate Panda|KeyBoy|Earth Centaur|APT 23|Bronze Hobart|Tropic Trooper|Iron,Transportation&Warehousing|HealthCare & Social Assistance|Public Administration|Electrical&Electronical Manufacturing|National Security&International Affairs,Tibet|Vietnam|Hong Kong|Taiwan|India|Philippines,1728
OldGremlin,139,OldGremlin,Finance|HealthCare & Social Assistance,Russia,0
Earth Lusca,29,TAG-22|Fishmonger|RedHotel,Educational Services|Public Administration|Telecommunications|Space & Defense,Nepal|Palestine|Czech|Cambodia|Bhutan|Bangladesh|Afghanistan|Laos|Malaysia|Thailand|USA|Pakistan|Hong Kong|Taiwan|Vietnam|India|Philippines,1477
[Unnamed group],535,,,,6147
UAC-0050,52,,,Germany|Ukraine,138
Moshen Dragon,490,,,,0
SilverTerrier,555,,,,371
POLONIUM,417,GREATRIFT|PlaidRain|Plaid Rain|UNC4453|Polonium,Manufacturing|Public Administration|Insurance|Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Civic&Social Organizations|Telecommunications|Transportation&Warehousing|Agriculture&Forestry|Information Services|Finance|HealthCare & Social Assistance,Lebanon|Israel,28
BlackOasis,319,BlackOasis,,Bahrain|Russia|Jordan|Iran|Iraq|Nigeria|Libya|Afghanistan|Tunisia|UK|Netherlands|Saudi Arabia|Angola,0
PhantomCore,206,,,,0
Desert Falcons,188,Renegade Jackal|TAG-CT1|Desert Falcon|TAG-63|AridViper|DesertFalcons|Two-tailedScorpion|ATK66|ATK 66|Two-tailed Scorpion|Desert Falcons|DESERTVARNISH|Arid Viper|UNC718|Mantis|APT-C-23,Public Administration|Educational Services|Energy & Utilities |Justice & Safety Activities|National Security&International Affairs|Civic&Social Organizations|Telecommunications|Transportation&Warehousing|Electrical&Electronical Manufacturing|Finance,China|Russia|Yemen|Zimbabwe|Mexico|Sweden|Germany|Taiwan|Hungary|Cyprus|Morocco|Belgium|Turkey|France|Europe|Romania|Israel|Uzbekistan|Jordan|Mali|Australia|Saudi Arabia|Denmark|United States|Middle East|UAE|Palestine|Iran|Albania|Pakistan|Kuwait|Netherlands|Portugal|India|Italy|Greece|Ukraine|South Korea|Sudan|Algeria|Japan|Iraq|Qatar|Norway|Libya|Egypt|Mauritania|USA|Lebanon|Canada|Syria|Bosnia and Herzegovina,0
APT3,495,Buckeye|TG-0110|APT 3|Gothic Panda|Red Sylvan|Group 6|Bronze Mayfair|UPS Team,Construction|Manufacturing|Transportation&Warehousing|Electrical&Electronical Manufacturing|Telecommunications|Space & Defense|National Security&International Affairs,Sweden|Belgium|Italy|UK|Hong Kong|Luxembourg|USA|Vietnam|Philippines,0
TA570,363,DEV-0450,,,2151
FunnyDream,393,Bronze Edgewood|BronzeEdgewood|TAG-16|Red Hariasa|RedHariasa|FunnyDream,Public Administration,Thailand|Kyrgyzstan|Indonesia|Malaysia|Vietnam|Taiwan|Philippines,84
UNC5330,262,,,,0
WildCard,72,WildCard,Educational Services|Other,Israel,0
Storm-1674,566,,,,0
PassCV,582,PassCV,,Europe|China|Russia|USA|Taiwan|South Korea,1955
Earth Krahang,665,Earth Krahang,Manufacturing|Public Administration|Educational Services|National Security&International Affairs|Telecommunications|Retail|Finance|HealthCare & Social Assistance,Kazakhstan|Argentina|Mexico|Indonesia|Malaysia|Myanmar|Morocco|Hungary|Turkey|Romania|Israel|Uzbekistan|Tajikistan|Jordan|Sri Lanka|Oman|Cambodia|Kyrgyzstan|Vietnam|Saudi Arabia|Bolivia|Brazil|UAE|Laos|Pakistan|South Africa|UK|India|South Korea|Ecuador|Nigeria|Rwanda|Thailand|Bangladesh|Egypt|USA|Peru,196
Operation Skeleton Key,182,,,,0
Anchor Panda,21,QAZTeam|Anchor Panda|APT 14|Aluminum,Other|Public Administration|Space & Defense|National Security&International Affairs,Australia|USA|Sweden|Germany|others|UK,1390
ELECTRUM,71,UAC-0113|Voodoo Bear|Quedagh|ATK 14|TEMP.Noble|IRIDIUM|FROZENBARENTS|TeleBots|UAC-0082|Sandworm Team|Seashell Blizzard|Iron Viking|BE2|Sandworm|CTG-7263,Energy & Utilities |Transportation&Warehousing|Finance|Educational Services|Other|Public Administration|Telecommunications,Kyrgyzstan|Denmark|Georgia|Ukraine|Lithuania|Russia|Kazakhstan|Worldwide (NotPetya)|Iran|Israel|Poland|Azerbaijan|France|Belarus,2217
GhostR,87,,,,0
OurMine,212,,,,0
SunCrypt Gang,223,SunCryptGang|SunCrypt Gang,,,0
Cyber fighters of Izz Ad-Din Al Qassam,198,Fraternal Jackal|FraternalJackal,,,0
DefrayX,330,Hive0091,,,0
FIN6,174,ATK 88|ITG08|Skeleton Spider|Gold Franklin|FIN6|Camouflage Tempest|TAAL|TAG-CR2|White Giant,Energy & Utilities |Manufacturing|Retail|HealthCare & Social Assistance|Chemical&Pharmaceutical Manufacturing,,443
DEV-0270,36,Nemesis Kitten|NemesisKitten|Storm-0270,,,19
Aslan Neferler Tim,492,Phantom Turk|Lion Soldiers Team|PhantomTurk|LionSoldiersTeam,,,0
Storm-1575,387,,,,3
GOLD FLANDERS,488,,,,0
WeedSec,328,,,,0
GOLD DUPONT,406,Gold Dupont|Sprite Spider,Manufacturing|Educational Services|HealthCare & Social Assistance|Electrical&Electronical Manufacturing,,52
ANDROMEDA SPIDER,693,,,,0
BRONZE STARLIGHT,536,EmperorDragonfly|Cinnamon Tempest|Operation ChattyGoblin|SLIME34|CinnamonTempest|Emperor Dragonfly|Bronze Starlight|DEV-0401|BronzeStarlight|OperationChattyGoblin,,Southeast Asia|Philippines,76
Scarlet Mimic,257,Golfing Taurus|Scarlet Mimic,,Tibetan and Uyghur activists as well as those who are interested in their causes,53
MurenShark,432,Actor210426,,,0
Just Evil,110,,Air Transportation,United States,0
TRAVELING SPIDER,113,Gold Mansard|Traveling Spider,,China|Russia|Argentina|Guatemala|Lithuania|Indonesia|Malaysia|Sweden|Germany|Morocco|Hungary|Belgium|Philippines|Turkey|France|Chile|Vietnam|Poland|Latvia|Bolivia|Brazil|Denmark|UAE|Ghana|Iran|Czech|Niger|Pakistan|South Africa|Netherlands|UK|Portugal|India|Italy|Guinea|South Korea|Austria|Ukraine|Venezuela|Estonia|Nepal|Algeria|Japan|Ecuador|Thailand|Bhutan|Libya|Egypt|USA|Slovakia|Canada|Luxembourg|Spain,0
Spicy Panda,678,,,,0
GOLD MANSARD,581,,,,0
RedGolf,449,RedGolf,Information Services|Educational Services|Arts & Entertainment|Public Administration|Air Transportation|Automotive,USA,113
SMOKY SPIDER,403,,,,151
